lat,lon,addr,units,sqft,assessed,market,subsidy,change,source
37.8061,-122.41892,704 North Point St,2,2770,1006714,3189198,25753,14591,same_neighborhood
37.80595,-122.42014,2710 2706 Hyde St,3,4200,1736625,4835606,36568,19643,same_neighborhood
37.80588,-122.42078,818 0816 North Point St,3,4134,216343,4759618,53611,36952,same_neighborhood
37.80632,-122.42095,721 Beach St,2,2200,4291163,2532937,-20747,-29612,same_neighborhood
37.80575,-122.42181,886 0884 North Point St,2,3250,2096390,3741838,19416,6320,same_neighborhood
37.80499,-122.4209,828 Bay St,6,7290,586508,8393231,92119,62743,same_neighborhood
37.80499,-122.4216,2926 2914 Larkin St,5,5500,724982,6332342,66167,44004,same_neighborhood
37.80532,-122.42125,859 0853 North Point St,4,3600,399665,4144805,44193,29686,same_neighborhood
37.80536,-122.42096,831 0829 North Point St,2,3030,1944600,3488545,18219,6009,same_neighborhood
37.80497,-122.42046,2603 Hyde St,3,5486,4217604,6316223,24764,2657,same_neighborhood
37.80539,-122.41883,2633 2631 Leavenworth St,2,2400,2425559,2763204,3984,-5687,same_neighborhood
37.80516,-122.41955,756 Bay St,4,3296,1095278,3794800,31854,18573,same_neighborhood
37.80557,-122.42006,2652 2650 Hyde St,2,2540,2022894,2924391,10638,402,same_neighborhood
37.80536,-122.41989,2636B2632Chyde St,8,6919,1393991,7966086,77551,49669,same_neighborhood
37.80527,-122.41803,662 0660 Bay St,3,3570,1374073,4110265,32287,17901,same_neighborhood
37.80524,-122.41836,2610 2608 Leavenworth St,2,2369,2111766,2727512,7266,-2280,same_neighborhood
37.8057,-122.40764,150 Francisco St,96,85272,15835433,72902817,673395,418235,same_neighborhood
37.80537,-122.40946,252 0250 Francisco St,2,2640,185498,2257053,24444,16545,same_neighborhood
37.80581,-122.41,2130 Stockton St,39,24575,10850526,21010258,119885,46349,same_neighborhood
37.80568,-122.41067,2133 Stockton St,105,59542,26624166,42586335,188354,39301,same_neighborhood
37.80513,-122.41141,382 0378 Francisco St,3,3525,551040,2521192,23248,14424,same_neighborhood
37.80505,-122.41196,2209 2201 Powell St,4,2850,1890301,2038411,1748,-5387,same_neighborhood
37.80508,-122.41302,77 0075 Vandewater St,2,2420,423846,1730861,15423,9365,same_neighborhood
37.80476,-122.41793,74 0070 Bret Harte Te,3,3266,2687138,3760260,12663,-498,same_neighborhood
37.80305,-122.42108,1080 Chestnut St0001G,0,900,1272243,1036201,-2785,-6412,same_neighborhood
37.80305,-122.42108,1080 Chestnut St0003C,0,1622,3095190,1867465,-14487,-21023,same_neighborhood
37.80305,-122.42108,1080 Chestnut St0005B,0,1224,1887390,1409234,-5642,-10575,same_neighborhood
37.80305,-122.42108,1080 Chestnut St0007A,0,1622,4178104,1867465,-27266,-33802,same_neighborhood
37.80305,-122.42108,1080 Chestnut St0008D,0,1263,1010834,1454136,5231,141,same_neighborhood
37.80305,-122.42108,1080 Chestnut St0010C,0,1622,2015698,1867465,-1749,-8285,same_neighborhood
37.80305,-122.42108,1080 Chestnut St0012B,0,2885,766524,3321601,30150,18524,same_neighborhood
37.80305,-122.42108,1080 Chestnut St0016A,0,2626,1430871,3023405,18792,8210,same_neighborhood
37.8035,-122.41953,2448 Hyde St,1,1056,1213361,1215810,29,-4226,same_neighborhood
37.80393,-122.41794,781 Francisco St,2,2472,2505944,2846100,4014,-5948,same_neighborhood
37.80359,-122.41607,762 0760 Chestnut St,2,2738,2067319,3152355,12803,1770,same_neighborhood
37.80397,-122.41302,592 0588 Chestnut St,3,3939,3987956,2817298,-13814,-23674,same_neighborhood
37.80439,-122.41048,430 0420 Chestnut St,6,8690,2137541,6215365,48118,26365,same_neighborhood
37.80449,-122.40875,320 Chestnut St,4,1760,291049,1504702,14321,9055,same_neighborhood
37.80444,-122.40943,372 0370 Chestnut St,2,2500,1082214,2137361,12451,4970,same_neighborhood
37.80465,-122.409,141 0139 Pfeiffer St,2,2885,2850093,2466515,-4526,-13159,same_neighborhood
37.80495,-122.40963,281 0271 Francisco St,11,9395,854805,8032202,84693,56581,same_neighborhood
37.80503,-122.40942,267 0265 Francisco St,2,2100,2653020,1795383,-10120,-16404,same_neighborhood
37.80493,-122.40864,110 0106 Pfeiffer St,3,3210,1678056,2744371,12583,2977,same_neighborhood
37.805,-122.40727,1855 Kearny St,136,111150,16966344,95027067,921117,588522,same_neighborhood
37.80384,-122.40644,290 Lombard St,10,18844,2981725,17124867,166889,106952,5_nearest_neighborhoods
37.80381,-122.40803,1826 1820 Grant Av,6,5721,729066,4891137,49112,31993,same_neighborhood
37.80421,-122.40802,289 Chestnut St,6,3588,3218110,3067540,-1777,-12513,same_neighborhood
37.80358,-122.40869,430 0426 Lombard St,3,5040,428405,4308920,45790,30709,same_neighborhood
37.80355,-122.40955,1918 1916 Stockton St,2,2666,181962,2279282,24748,16771,same_neighborhood
37.80401,-122.4094,377 0367 Chestnut St,9,8337,438918,7127671,78927,53980,same_neighborhood
37.8041,-122.40871,321 Chestnut St,5,5010,3052399,4283271,14524,-467,same_neighborhood
37.80378,-122.41008,1941 1935 Stockton St,4,3740,2901577,2674967,-2674,-12036,same_neighborhood
37.80343,-122.4105,542 0538 Lombard St,6,7017,321833,5018782,55424,37858,same_neighborhood
37.80333,-122.41118,2014 2012 Powell St,2,2244,1492901,1604980,1323,-4295,same_neighborhood
37.80379,-122.4109,469 0461 Chestnut St,7,4878,718429,3488901,32692,20480,same_neighborhood
37.80356,-122.41179,2047 2043 Powell St,3,4650,3356524,3325828,-362,-12003,same_neighborhood
37.80322,-122.41219,646 0642 Lombard St,5,4528,2259108,3238570,11558,223,same_neighborhood
37.80311,-122.41285,2116 2112 Mason St,3,3516,175252,2514755,27606,18804,same_neighborhood
37.8036,-122.41295,2162 2160 Mason St,2,2424,171566,1733722,18433,12365,same_neighborhood
37.80323,-122.41345,2131 Mason St,5,4668,884552,3338702,28959,17274,same_neighborhood
37.80296,-122.4134,720 Lombard St,9,8151,1983538,5829855,45387,24982,same_neighborhood
37.80285,-122.4161,2328 2324 Jones St,3,4182,169474,4814882,54816,37964,same_neighborhood
37.80321,-122.41601,773 Chestnut St,2,2485,1531794,2861067,15685,5672,same_neighborhood
37.80293,-122.41679,2339 Jones St,3,3150,2597832,3626705,12141,-553,same_neighborhood
37.80226,-122.41987,2323 Hyde St,2,7930,6502500,9130085,31006,-950,same_neighborhood
37.80254,-122.4211,2656 2652 Larkin St,2,3554,1290746,4091844,33053,18732,same_neighborhood
37.80142,-122.41884,1168 Greenwich St,4,7093,1827360,8166418,74801,46218,same_neighborhood
37.80141,-122.41928,2222 Hyde St,0,2920,4336464,3361898,-11500,-23267,same_neighborhood
37.80175,-122.41935,2250 Hyde St,0,1294,1760817,1489827,-3198,-8412,same_neighborhood
37.80163,-122.41929,2240 Hyde St,0,2859,4080613,3291666,-9310,-20830,same_neighborhood
37.80163,-122.41929,2240 Hyde St,0,2859,4149990,3291666,-10128,-21649,same_neighborhood
37.80175,-122.41752,2230 Leavenworth St,7,6735,5348454,7754240,28388,1248,same_neighborhood
37.80222,-122.41486,2145 2141 Taylor St,3,4062,366604,4676722,50859,34491,same_neighborhood
37.80187,-122.41533,948 0946 Greenwich St,3,2728,1872718,3140841,14964,3971,same_neighborhood
37.80186,-122.41592,2226 2222 Jones St,3,5428,2167869,6249446,48163,26290,same_neighborhood
37.80215,-122.416,2252 2250 Jones St,2,2850,959558,3281304,27397,15912,same_neighborhood
37.80226,-122.41525,835 Lombard St,3,2777,341839,3197257,33694,22504,same_neighborhood
37.80198,-122.41309,802 0800 Greenwich St,2,2280,940322,2625043,19880,10692,same_neighborhood
37.80192,-122.41412,874 0864 Greenwich St,6,5280,1595019,6079048,52912,31635,same_neighborhood
37.80244,-122.41353,847 0845 Columbus Av,2,1050,1000000,1208902,2465,-1766,same_neighborhood
37.80221,-122.41416,2140 Taylor St,84,72912,13923797,83946126,826263,532452,same_neighborhood
37.80254,-122.40997,1827 1815 Stockton St,7,9030,8441438,6458544,-23398,-46003,same_neighborhood
37.80248,-122.41049,656 0652 Greenwich St,4,4168,260200,2981086,32106,21673,same_neighborhood
37.80259,-122.41094,1934 1930 Powell St,4,4962,3784101,3548980,-2774,-15196,same_neighborhood
37.80282,-122.41081,579 0567 Lombard St,7,4779,1457066,3418093,23140,11177,same_neighborhood
37.80296,-122.41025,531 0529 Lombard St,2,2900,2836297,2074172,-8993,-16253,same_neighborhood
37.80262,-122.40816,512 0500 Greenwich St,9,5832,1355200,4986036,42844,25393,same_neighborhood
37.80263,-122.40872,552 0550 Greenwich St,4,3300,3093106,2821316,-3207,-13082,same_neighborhood
37.80263,-122.40934,1820 1816 Stockton St,3,3660,1127358,3129096,23621,12669,same_neighborhood
37.80314,-122.4095,1866 1864 Stockton St,2,2376,2034828,2031348,-41,-7151,same_neighborhood
37.80317,-122.40852,429 0423 Lombard St,4,6465,617240,5527215,57938,38592,same_neighborhood
37.80283,-122.40693,430 0426 Greenwich St,3,4510,5359706,3855799,-17746,-31241,same_neighborhood
